schoolname,averageclasssize,year,grade,enroll,schoolid,mathscore,x,pctdisability,pctEL,pctblack,pcthisp,pctwhite
M.S. K394,28,2011,4,56,394,-.3868136299223032,-8.5,.10344828,.12068965,83.928574,12.5,1.7857144
M.S. K394,29.5,2012,4,59,394,-.4535354307458613,-5.5,.125,.071428575,90.740738,7.4074073,0
M.S. K394,26,2013,4,52,394,-1.352405848100957,-12.5,.10204082,.040816326,89.583328,8.333334,2.0833335
M.S. K394,23.5,2011,5,47,394,-.3852298066810619,14.5,.21428572,.017857144,90.56604,9.4339628,0
M.S. K394,24,2012,5,48,394,-.2817165547324022,15.5,.1,.14,83.67347,14.285715,2.0408163
M.S. K394,25.5,2013,5,51,394,-1.207629208799116,-13.5,.11320755,.11320755,90.196075,9.8039217,0
M.S. K394,26.29999923706055,2012,6,79,394,-.7351914157391603,14.5,.16867469,.084337346,83.75,16.25,0
M.S. K394,24,2013,6,72,394,-.6695749215666915,7.5,.12162162,.13513513,78.37838,18.918919,2.7027028
P.S. 397 FOSTER-LAURIE,25,2009,3,75,397,-1.173016997428982,10.5,.042857144,.085714288,88.4058,7.2463765,0
P.S. 397 FOSTER-LAURIE,22.29999923706055,2011,3,67,397,-.190375465689021,2.5,.015151516,.060606062,84.615387,4.6153846,9.2307692
P.S. 397 FOSTER-LAURIE,27,2012,3,54,397,-.6484809948451084,-10.5,.07692308,.13461539,88.461533,5.7692308,1.923077
P.S. 397 FOSTER-LAURIE,20.33333333333333,2013,3,61,397,-.3917123180083667,-3.5,.084745765,.11864407,91.525421,1.6949153,6.7796612
P.S. 397 FOSTER-LAURIE,21.29999923706055,2009,4,64,397,-1.112331887670083,-.5,.12857144,.085714288,86.95652,5.7971015,0
P.S. 397 Foster-Laurie,20,2010,4,60,397,-.426748790211316,-4.5,.070175439,.052631579,94.736847,3.5087719,0
P.S. 397 FOSTER-LAURIE,22,2012,4,66,397,-.2291211150242474,1.5,.030769231,.13846155,82.8125,6.25,9.375
